,School Year,Is online learning crucial?,Who told you about Genius?,Country,year,month,day,hour,Mathematics (Matific),The Educated Reader,Nooraniyah Rule (Quranic Learning),Writers (Quran Memorization),Online School,Little Explorer,Specialized Programming Diploma,Graphics Diploma,Digital Marketing Diploma,German Language Course,English Language Course,Fundamentals of Programming
99,Grade 6,Yes,Social Media,Unknown,2022,9,24,23,0,0,0,0,0,0,tick,0,0,0,0,0
100,Grade 8,Maybe,Social Media,Egypt,2022,9,25,12,0,0,0,0,0,0,tick,0,0,0,tick,0
101,finished school,Maybe,Unknown,Unknown,2022,9,25,13,tick,tick,tick,tick,tick,tick,tick,tick,tick,tick,tick,tick
102,Grade 1,Yes,Social Media,Saudi Arabia,2022,9,25,16,0,0,0,0,tick,0,0,0,0,0,0,0
103,other,Yes,Social Media,Egypt,2022,9,25,18,0,0,0,0,0,0,0,0,tick,0,0,tick
104,Grade 9,Maybe,Unknown,Egypt,2022,9,25,19,tick,tick,0,0,0,0,tick,tick,tick,tick,tick,tick
105,Grade 1,Yes,Social Media,Egypt,2022,9,25,22,0,0,tick,tick,0,0,0,0,0,0,0,0
106,Grade 8,Yes,Relatives,Egypt,2022,9,25,22,0,0,0,tick,0,0,0,0,0,0,0,tick
107,Grade 1,Yes,Relatives,Egypt,2022,9,25,22,0,0,0,tick,0,0,0,0,0,0,0,tick
108,other,Maybe,Ad,Egypt,2022,9,26,tick,0,0,tick,0,0,0,0,0,0,0,tick,0
109,Grade 11,Yes,Social Media,Unknown,2022,9,26,5,0,0,0,0,0,0,tick,0,0,0,tick,0
110,Grade 11,Yes,Social Media,Unknown,2022,9,26,5,0,0,0,0,0,0,0,tick,0,0,tick,0
111,other,Yes,Ad,Saudi Arabia,2022,9,26,8,0,0,0,0,0,0,tick,0,tick,0,tick,0
112,Grade 6,Maybe,Unknown,Egypt,2022,9,26,10,0,0,0,0,0,0,0,0,0,tick,tick,0
113,Grade 4,Yes,Social Media,Sweden,2022,9,26,11,tick,tick,0,tick,0,tick,0,0,0,0,0,tick
114,Grade 3,Yes,Social Media,Sweden,2022,9,26,11,tick,tick,0,tick,0,tick,0,0,0,0,0,tick
115,Grade 6,Yes,Social Media,Egypt,2022,9,26,13,0,0,0,0,0,0,tick,0,0,0,0,0
116,other,Yes,Unknown,Egypt,2022,9,26,13,0,0,0,0,0,0,tick,tick,0,tick,tick,tick
117,Grade 5,Yes,Social Media,Egypt,2022,9,26,15,0,tick,tick,0,0,0,tick,tick,tick,0,0,tick
118,Grade 5,Maybe,Social Media,Egypt,2022,9,26,18,0,0,0,0,0,0,tick,0,0,0,0,tick
119,Grade 8,Maybe,Social Media,Unknown,2022,9,26,22,0,0,0,0,0,0,0,0,0,0,tick,0
120,Grade 9,Yes,Unknown,Unknown,2022,9,26,22,0,0,0,0,0,0,0,0,0,0,0,tick
121,Grade 5,Maybe,Social Media,Unknown,2022,9,26,23,tick,tick,tick,tick,0,tick,0,0,0,tick,tick,0
122,kg8,Yes,Unknown,Unknown,2022,9,27,9,tick,0,0,tick,0,0,tick,0,0,0,0,tick
123,Grade 5,Yes,Social Media,Egypt,2022,9,27,13,tick,tick,0,tick,0,tick,tick,tick,tick,0,tick,tick
124,Grade 7,Yes,Social Media,Unknown,2022,9,27,15,0,0,0,0,0,0,0,0,0,0,0,tick
125,Grade 7,Yes,Social Media,Unknown,2022,9,27,15,0,0,0,0,0,0,tick,tick,0,0,0,0
126,Grade 8,Maybe,Social Media,Egypt,2022,9,27,16,0,0,0,0,0,0,tick,0,0,0,0,0
127,Grade 1,Yes,Social Media,Egypt,2022,9,27,18,0,0,tick,0,0,0,0,0,0,0,0,0
128,other,Yes,Social Media,Egypt,2022,9,28,0,tick,0,tick,0,0,tick,0,0,0,0,0,0
129,Grade 10,Yes,Social Media,Egypt,2022,9,28,7,0,0,0,0,0,0,tick,0,0,0,0,0
130,other,Yes,Social Media,Egypt,2022,9,28,9,0,0,0,0,0,0,tick,0,tick,0,tick,tick
131,Grade 11,Yes,Social Media,Unknown,2022,9,28,12,0,0,0,0,0,0,0,tick,0,0,tick,tick
132,Grade 11,Yes,Unknown,Unknown,2022,9,28,12,0,0,0,0,0,0,0,tick,0,tick,0,tick
133,Grade 5,Maybe,Social Media,Egypt,2022,9,28,17,0,0,0,0,0,0,0,0,0,0,0,tick
134,Grade 7,Maybe,Social Media,Unknown,2022,9,28,22,0,0,0,tick,0,0,0,0,0,0,0,0
135,Grade 5,Maybe,Social Media,Unknown,2022,9,28,22,0,0,0,tick,0,0,0,0,0,0,0,0
136,Grade 1,Yes,Social Media,Saudi Arabia,2022,9,28,23,0,0,tick,0,0,0,0,0,0,0,0,0
137,Grade 9,Maybe,Social Media,Egypt,2022,9,29,5,0,0,0,tick,0,0,tick,0,0,0,tick,0
138,Grade 1,Maybe,Social Media,Egypt,2022,9,29,9,0,0,0,0,0,0,0,0,0,0,tick,tick
139,Grade 10,Yes,Social Media,Egypt,2022,9,29,12,0,0,0,0,0,0,0,tick,0,0,tick,0
140,other,Yes,Social Media,Saudi Arabia,2022,9,29,12,0,0,0,0,0,tick,0,0,tick,0,tick,0
141,Grade 8,Yes,Social Media,Unknown,2022,9,29,12,0,0,0,0,0,0,tick,0,0,0,0,0
142,Grade 5,Yes,Social Media,Egypt,2022,9,29,17,tick,tick,tick,tick,0,tick,tick,0,0,0,0,tick
143,other,Maybe,Social Media,Egypt,2022,9,29,17,0,tick,0,tick,0,tick,tick,tick,0,0,tick,tick
144,Grade 6,Maybe,Social Media,Egypt,2022,9,29,18,tick,tick,0,0,0,tick,0,tick,0,0,0,0
145,Grade 10,Yes,Social Media,Egypt,2022,9,30,2,0,0,0,tick,0,0,tick,tick,tick,tick,tick,tick
146,Grade 6,Maybe,Social Media,Egypt,2022,9,30,9,0,0,0,0,0,0,0,0,0,0,0,tick
147,Grade 1,Yes,Social Media,Egypt,2022,9,30,16,tick,tick,tick,0,tick,tick,tick,tick,tick,tick,tick,tick
148,Grade 8,No,Social Media,Egypt,2022,9,30,16,0,0,0,0,0,0,0,0,0,0,0,tick
149,Grade 8,No,Social Media,Unknown,2022,9,30,17,0,0,0,0,0,0,0,0,0,0,0,tick
